   H I           ,	3970.078
   H I   	,	4101.743
   H I   	,	4340.471
   H I   	,	4861.320
   H I   	,	6562.800
  C I   	,	5039.070
  C I   	,	5052.167
  C I   	,	5380.337
  C I   	,	6587.610
  C I   	,	6655.510
  C I   	,	7685.200
  C I   	,	7832.630
  C I   	,	8058.620
  C I   	,	8335.150
  C I   	,	8727.130
  C I   	,	9061.430
  C I   	,	9062.460
  C I   	,	9078.280
  C I   	,	9111.800
  O I   	,	5577.339
  O I   	,	6156.770
  O I   	,	6300.300
  O I   	,	6363.780
  O I   	,	7771.940
  O I   	,	7774.170
  O I   	,	7775.390
  O I   	,	8446.360
  O I   	,	8446.760
  Na I  	,	4321.399
  Na I  	,	4324.616
  Na I  	,	4393.340
  Na I  	,	4494.178
  Na I  	,	4497.658
  Na I  	,	4664.811
  Na I  	,	4668.560
  Na I  	,	4747.941
  Na I  	,	4751.821
  Na I  	,	4978.542
  Na I  	,	4982.813
  Na I  	,	5148.838
  Na I  	,	5153.402
  Na I  	,	5682.633
  Na I  	,	5688.204
  Na I  	,	5889.950
  Na I  	,	5895.923
  Na I  	,	6154.230
  Na I  	,	6160.750
  Na I  	,	8183.250
  Na I  	,	8194.830
  Mg I  	,	3829.355
  Mg I  	,	3832.302
  Mg I  	,	3838.293
  Mg I  	,	3858.860
  Mg I  	,	3878.305
  Mg I  	,	3938.400
  Mg I  	,	3986.753
  Mg I  	,	4054.689
  Mg I  	,	4057.505
  Mg I  	,	4165.100
  Mg I  	,	4167.271
  Mg I  	,	4351.905
  Mg I  	,	4354.529
  Mg I  	,	4380.375
  Mg I  	,	4571.096
  Mg I  	,	4702.991
  Mg I  	,	4730.028
  Mg I  	,	5167.322
  Mg I  	,	5172.685
  Mg I  	,	5183.604
  Mg I  	,	5528.404
  Mg I  	,	5711.088
  Mg I  	,	5785.312
  Mg I  	,	5785.560
  Mg I  	,	6318.720
  Mg I  	,	6319.240
  Mg I  	,	6319.490
  Mg I  	,	6894.900
  Mg I  	,	6965.400
  Mg I  	,	7060.410
  Mg I  	,	7193.170
  Mg I  	,	7387.000
  Mg I  	,	7387.690
  Mg I  	,	7560.560
  Mg I  	,	7657.600
  Mg I  	,	7691.550
  Mg I  	,	7722.610
  Mg I  	,	7759.300
  Mg I  	,	7811.130
  Mg I  	,	7881.670
  Mg I  	,	7930.810
  Mg I  	,	8049.850
  Mg I  	,	8054.230
  Mg I  	,	8098.720
  Mg I  	,	8159.130
  Mg I  	,	8209.840
  Mg I  	,	8213.040
  Mg I  	,	8303.310
  Mg I  	,	8305.590
  Mg I  	,	8310.260
  Mg I  	,	8346.120
  Mg I  	,	8466.480
  Mg I  	,	8468.850
  Mg I  	,	8473.690
  Mg I  	,	8609.730
  Mg I  	,	8707.140
