 line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A]   air_model_wl[A]   vac_model_wl[A]   air_resid[A]   vac_resid[A] 
===================================================================================================================================================================
     1              1                  65            491.048632     9497.189003     9499.794315     9497.189067       9499.794376      -0.000064      -0.000061
     2              1                  65            533.785179     9495.497829     9498.102683     9495.497132       9498.101986       0.000697       0.000697
     3              1                  65            948.337649     9478.328794     9480.928998     9478.330457       9480.930664      -0.001663      -0.001666
     4              1                  65           1027.915948     9474.879195     9477.478464     9474.878618       9477.477888       0.000577       0.000576
     5              1                  65           1123.152069     9470.681818     9473.279951     9470.680973       9473.279105       0.000845       0.000846
     6              1                  65           1201.035405     9467.195287     9469.792475     9467.194001       9469.791189       0.001286       0.001286
     7              1                  65           1940.801521     9431.599536     9434.187083     9431.597825       9434.185376       0.001711       0.001707
     8              1                  65           2273.440795     9414.088497     9416.671301     9414.089680       9416.672486      -0.001183      -0.001185
     9              1                  65           2360.461618     9409.348747     9411.930267     9409.350076       9411.931597      -0.001329      -0.001330
    10              1                  65           2693.421632     9390.585121     9393.161560     9390.585693       9393.162129      -0.000572      -0.000569
    11              1                  65           2721.930957     9388.930727     9391.506718     9388.931587       9391.507575      -0.000860      -0.000857
    12              1                  65           2818.517596     9383.272149     9385.846607     9383.270672       9385.845127       0.001477       0.001480
    13              2                  66           1333.256817     9317.729541     9320.286250     9317.727543       9320.284250       0.001998       0.002000
    14              2                  66           1491.412684     9310.443888     9312.998624     9310.443390       9312.998127       0.000498       0.000497
    15              2                  66           1545.714475     9307.895531     9310.449577     9307.895791       9310.449838      -0.000260      -0.000261
    16              2                  66           1813.636846     9294.973966     9297.524513     9294.973163       9297.523712       0.000803       0.000801
    17              2                  66           1882.989604     9291.530673     9294.080306     9291.531576       9294.081193      -0.000903      -0.000887
    18              2                  66           1922.334536     9289.562352     9292.111433     9289.561296       9292.110380       0.001056       0.001053
    19              2                  66           2115.279149     9279.708860     9282.255273     9279.710988       9282.257404      -0.002128      -0.002131
    20              2                  66           2181.225201     9276.273096     9278.818579     9276.271952       9278.817436       0.001144       0.001143
    21              2                  66           2277.594847     9271.180104     9273.724208     9271.179315       9273.723420       0.000789       0.000788
    22              2                  66           2296.907119     9270.150022     9272.693847     9270.149126       9272.692951       0.000896       0.000896
    23              2                  66           2342.800414     9267.689395     9270.232554     9267.688018       9270.231177       0.001377       0.001377
    24              2                  66           2370.273740     9266.206929     9268.749687     9266.205933       9268.748690       0.000996       0.000997
    25              2                  66           2478.333133     9260.325295     9262.866460     9260.312245       9262.853406       0.013050       0.013054
    26              2                  66           2506.239819     9258.771440     9261.312183     9258.773405       9261.314150      -0.001965      -0.001967
    27              2                  66           2941.455754     9233.857325     9236.391323     9233.857164       9236.391164       0.000161       0.000159
    28              2                  66           2951.446591     9233.273822     9235.807662     9233.264394       9235.798232       0.009428       0.009430
    29              2                  66           2964.388042     9232.495905     9235.029535     9232.495133       9235.028763       0.000772       0.000772
    30              2                  66           3047.669918     9227.511839     9230.044119     9227.505966       9230.038246       0.005873       0.005873
    31              2                  66           3187.279236     9218.985795     9221.515766     9218.989637       9221.519613      -0.003842      -0.003847
    32              2                  66           3236.755306     9215.919619     9218.448760     9215.924829       9218.453975      -0.005210      -0.005215
