line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A] 
=================================================================================================
     1              1                  65            945.940539     9478.328794     9480.928998 
     2              1                  65           1027.723239     9474.879195     9477.478464 
     3              1                  65           1122.962486     9470.681818     9473.279951 
     4              1                  65           1200.822904     9467.195287     9469.792475 
     5              1                  65           1940.630698     9431.599536     9434.187083 
     6              1                  65           2273.272480     9414.088497     9416.671301 
     7              1                  65           2360.317082     9409.348747     9411.930267 
     8              1                  65           2693.201846     9390.585121     9393.161560 
     9              1                  65           2721.744384     9388.930727     9391.506718 
    10              1                  65           2818.340986     9383.272149     9385.846607 
    11              2                  66           1333.028441     9317.729541     9320.286250 
    12              2                  66           1491.240966     9310.443888     9312.998624 
    13              2                  66           1545.489307     9307.895531     9310.449577 
    14              2                  66           1813.454323     9294.973966     9297.524513 
    15              2                  66           1883.025109     9291.530673     9294.080306 
    16              2                  66           1922.176677     9289.562352     9292.111433 
    17              2                  66           2113.488179     9279.708860     9282.255273 
    18              2                  66           2181.042562     9276.273096     9278.818579 
    19              2                  66           2277.424538     9271.180104     9273.724208 
    20              2                  66           2296.698907     9270.150022     9272.693847 
    21              2                  66           2342.597297     9267.689395     9270.232554 
    22              2                  66           2370.099071     9266.206929     9268.749687 
    23              2                  66           2477.977166     9260.325295     9262.866460 
    24              2                  66           2503.180456     9258.771440     9261.312183 
    25              2                  66           2941.275648     9233.857325     9236.391323 
    26              2                  66           2951.139389     9233.273822     9235.807662 
    27              2                  66           2964.173376     9232.495905     9235.029535 
    28              2                  66           3047.369286     9227.511839     9230.044119 
    29              2                  66           3190.564240     9218.985795     9221.515766 
    30              2                  66           3236.668490     9215.919619     9218.448760 
    31              2                  66           3353.616319     9208.581037     9211.108191 
    32              2                  66           3492.461306     9199.684057     9202.208802 
    33              2                  66           3601.042863     9192.592924     9195.115749 
    34              2                  66           3790.563483     9180.121639     9182.641088 
    35              2                  66           3806.566314     9178.779472     9181.298558 
    36              3                  67            349.579690     9218.985795     9221.515766 
    37              3                  67            426.785039     9215.919619     9218.448760 
    38              3                  67            617.585421     9208.581037     9211.108191 
    39              3                  67            840.023111     9199.684057     9202.208802 
    40              3                  67           1012.187442     9192.592924     9195.115749 
    41              3                  67           1304.955923     9180.121639     9182.641088 
    42              3                  67           1328.695498     9178.779472     9181.298558 
    43              3                  67           1503.962692     9170.821948     9173.338879 
    44              3                  67           2126.765086     9140.555882     9143.064623 
    45              3                  67           2242.995550     9134.691822     9137.198972 
    46              3                  67           2286.510240     9132.273873     9134.780368 
    47              3                  67           2746.008481     9107.226842     9109.726556 
    48              3                  67           2760.594869     9106.562758     9109.062293 
    49              3                  67           2853.532799     9101.082562     9103.580613 
    50              3                  67           2902.994589     9098.574389     9101.071761 
    51              3                  67           3029.653714     9090.818586     9093.313859 
    52              3                  67           3288.453480     9075.393921     9077.885049 
    53              3                  67           3403.567249     9068.024773     9070.513876 
    54              3                  67           3433.477513     9066.111421     9068.600005 
    55              3                  67           3467.483352     9063.959977     9066.447979 
    56              3                  67           3489.435264     9062.562998     9065.050622 
    57              3                  67           3518.723405     9060.746633     9063.233765 
    58              3                  67           3709.793659     9048.250039     9050.733789 
    59              3                  67           3756.896616     9045.353161     9047.836127 
    60              3                  67           3894.323073     9035.919111     9038.399523 
    61              4                  68            135.410312     9090.818586     9093.313859 
    62              4                  68            551.594295     9075.393921     9077.885049 
    63              4                  68            748.701170     9068.024773     9070.513876 
    64              4                  68            795.183211     9066.111421     9068.600005 
    65              4                  68            848.724039     9063.959977     9066.447979 
    66              4                  68            883.351732     9062.562998     9065.050622 
    67              4                  68            929.207224     9060.746633     9063.233765 
    68              4                  68           1224.915857     9048.250039     9050.733789 
    69              4                  68           1410.006869     9040.122853     9042.604402 
    70              4                  68           1459.559850     9037.893765     9040.374711 
    71              4                  68           1504.489876     9035.919111     9038.399523 
    72              4                  68           1892.697052     9017.591428     9020.066880 
    73              4                  68           1914.586120     9016.590249     9019.065429 
    74              4                  68           1997.673474     9012.526249     9015.000329 
    75              4                  68           2084.177733     9008.456738     9010.929717 
    76              4                  68           2321.449676     8995.862715     8998.332285 
    77              4                  68           2338.968589     8995.189197     8997.658584 
    78              4                  68           2425.462959     8990.893469     8993.361694 
    79              4                  68           2500.472050     8986.616221     8989.083289 
    80              4                  68           2784.511649     8971.363979     8973.826918 
    81              4                  68           2806.554746     8969.866623     8972.329157 
    82              4                  68           2818.335637     8968.948108     8971.410394 
    83              4                  68           2846.125723     8967.640269     8970.102201 
    84              4                  68           3014.390831     8957.985934     8960.445252 
    85              4                  68           3051.166606     8955.846664     8958.305404 
    86              4                  68           3164.991845     8949.122626     8951.579546 
    87              4                  68           3289.214880     8941.660762     8944.115663 
    88              5                  69            225.664162     8955.846664     8958.305404 
    89              5                  69            413.450458     8949.122626     8951.579546 
    90              5                  69            959.296444     8928.092415     8930.543643 
    91              5                  69           1368.607343     8910.856536     8913.303100 
    92              5                  69           1488.138345     8905.656330     8908.101486 
    93              5                  69           1626.189336     8899.298381     8901.741817 
    94              5                  69           1752.178725     8893.539678     8895.981556 
    95              5                  69           1764.094191     8892.986447     8895.428175 
    96              5                  69           1844.611896     8889.193845     8891.634547 
    97              5                  69           2132.362255     8875.232328     8877.669251 
    98              5                  69           2144.130062     8874.797576     8877.234382 
    99              5                  69           2259.812006     8868.833307     8871.268499 
   100              5                  69           2450.303697     8859.017994     8861.450530 
   101              5                  69           2528.402220     8854.907859     8857.339283 
   102              5                  69           2568.285821     8852.791584     8855.222435 
   103              5                  69           2633.066121     8849.315089     8851.745000 
   104              5                  69           2782.167205     8841.183227     8843.610937 
   105              5                  69           2987.167009     8829.693786     8832.118387 
   106              5                  69           3318.790411     8810.253946     8812.673287 
   107              5                  69           3413.328567     8804.589321     8807.007130 
   108              5                  69           3731.620495     8784.555745     8786.968104 
   109              5                  69           3869.716433     8775.573210     8777.983168 
   110              5                  69           3911.651306     8772.805163     8775.214372 
   111              5                  69           3929.975725     8771.860292     8774.269245 
   112              6                  70            551.660410     8816.172780     8818.593723 
   113              6                  70            709.223288     8810.253946     8812.673287 
   114              6                  70            857.471920     8804.589321     8807.007130 
   115              6                  70            997.611609     8799.086895     8801.503184 
   116              6                  70           1016.834240     8798.171941     8800.588013 
   117              6                  70           1343.992353     8784.555745     8786.968104 
   118              6                  70           1387.008069     8782.715508     8785.127398 
   119              6                  70           1550.067699     8775.573210     8777.983168 
   120              6                  70           1612.058239     8772.805163     8775.214372 
   121              6                  70           1634.675071     8771.860292     8774.269245 
   122              6                  70           1745.522390     8766.744973     8769.152542 
   123              6                  70           1855.123081     8761.685632     8764.091805 
   124              6                  70           1881.075440     8760.449561     8762.855427 
   125              6                  70           1929.305551     8758.243376     8760.648645 
   126              6                  70           2011.300812     8754.009670     8756.413767 
   127              6                  70           2116.529790     8749.169625     8751.572439 
   128              6                  70           2139.776790     8748.030881     8750.433387 
   129              6                  70           2419.102241     8734.023300     8736.422017 
   130              6                  70           2450.203467     8732.423947     8734.822231 
   131              6                  70           2604.271396     8724.376040     8726.772147 
   132              6                  70           2616.572090     8723.717666     8726.113595 
   133              6                  70           2640.373878     8722.457684     8724.853272 
   134              6                  70           2655.447528     8721.659442     8724.054814 
   135              6                  70           2693.468514     8719.628959     8722.023782 
   136              6                  70           2862.995418     8710.414148     8712.806478 
   137              6                  70           2884.424029     8709.234029     8711.626039 
   138              6                  70           2918.127246     8707.359106     8709.750609 
   139              6                  70           2962.006490     8704.860087     8707.250914 
   140              6                  70           2983.638312     8703.702461     8706.092975 
   141              6                  70           3172.423357     8693.088527     8695.476147 
   142              6                  70           3259.619905     8687.847928     8690.234153 
   143              6                  70           3416.756443     8678.407764     8680.791414 
   144              7                  71             52.920659     8709.234029     8711.626039 
   145              7                  71            662.982779     8687.847928     8690.234153 
   146              7                  71            908.489893     8678.407764     8680.791414 
   147              7                  71           1613.153716     8649.148977     8651.524733 
   148              7                  71           1699.271990     8645.308606     8647.683324 
   149              7                  71           1828.452803     8639.441589     8641.814720 
   150              7                  71           1851.912662     8638.362204     8640.735043 
   151              7                  71           2002.049007     8631.356458     8633.727402 
   152              7                  71           2048.689807     8629.141440     8631.511785 
   153              7                  71           2158.000000     8623.801422     8626.170322 
   154              7                  71           2210.717900     8621.322470     8623.690700 
   155              7                  71           2233.782512     8620.459617     8622.827596 
   156              7                  71           2314.142851     8616.221875     8618.588726 
   157              7                  71           2522.039606     8605.775647     8608.139655 
   158              7                  71           2550.078037     8604.016589     8606.380139 
   159              7                  71           2636.713666     8599.755287     8602.117683 
   160              7                  71           2762.363660     8593.108838     8595.469436 
   161              7                  71           2786.064540     8591.838671     8594.198926 
   162              7                  71           3051.666043     8577.276762     8579.633078 
   163              7                  71           3086.433481     8575.330448     8577.686239 
   164              7                  71           3125.512143     8573.120489     8575.475681 
   165              7                  71           3211.656030     8568.208713     8570.562577 
   166              7                  71           3379.484532     8558.446353     8560.797577 
   167              7                  71           3438.332990     8554.943992     8557.294268 
   168              7                  71           3687.494926     8539.792910     8542.139090 
   169              8                  72            379.032929     8577.276762     8579.633078 
   170              8                  72            497.327768     8573.120489     8575.475681 
   171              8                  72            633.689832     8568.208713     8570.562577 
   172              8                  72            894.391909     8558.446353     8560.797577 
   173              8                  72            984.743482     8554.943992     8557.294268 
   174              8                  72           1359.794381     8539.792910     8542.139090 
   175              8                  72           1891.123239     8516.554190     8518.894085 
   176              8                  72           2019.359783     8510.623937     8512.962228 
   177              8                  72           2436.410912     8490.305885     8492.638674 
   178              8                  72           2798.047183     8471.825985     8474.153784 
   179              8                  72           2913.189515     8465.670502     8467.996638 
   180              8                  72           2939.573818     8464.236635     8466.562383 
   181              8                  72           3258.147199     8446.511509     8448.832464 
   182              8                  72           3276.064300     8445.486996     8447.807674 
   183              8                  72           3686.024256     8421.225355     8423.539473 
   184              8                  72           3738.541420     8417.998115     8420.311361 
